Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.997639,0.997467,0.470107,0.997553,781,279,2809068885,2530414070.000000,0.000000,504830,.,.,282338.000000,189530.000000,,1.48967445787,503638,.,.,281912.000000,189236.000000,,1.48973768205,1192,.,.,426.000000,294.000000,,1.44897959184,992989,.,.,636931.000000,324577.000000,,1.96234175558,524845,.,.,325385.000000,189240.000000,,1.71943035299,1333,.,.,959.000000,331.000000,,2.89728096677,466811,.,.,310587.000000,135006.000000,,2.30054219812
INDEL,*,*,PASS,*,QUAL,*,0.997639,0.997467,0.470107,0.997553,781,279,2809068885,2530414070.000000,0.000000,504830,.,.,282338.000000,189530.000000,,1.48967445787,503638,.,.,281912.000000,189236.000000,,1.48973768205,1192,.,.,426.000000,294.000000,,1.44897959184,992989,.,.,636931.000000,324577.000000,,1.96234175558,524845,.,.,325385.000000,189240.000000,,1.71943035299,1333,.,.,959.000000,331.000000,,2.89728096677,466811,.,.,310587.000000,135006.000000,,2.30054219812
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.997437,0.997434,0.534731,0.997435,451,92,83977437.000000,61421286.000000,0.000000,222779,.,.,121137.000000,85501.000000,,1.4167904469,222208,.,.,120988.000000,85379.000000,,1.41706977126,571,.,.,149.000000,122.000000,,1.22131147541,500882,.,.,321822.000000,161924.000000,,1.98748795731,232447,.,.,142095.000000,85383.000000,,1.66420716068,598,.,.,397.000000,185.000000,,2.14594594595,267837,.,.,179330.000000,76356.000000,,2.34860390801
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.997437,0.997434,0.534731,0.997435,451,92,83977437.000000,61421286.000000,0.000000,222779,.,.,121137.000000,85501.000000,,1.4167904469,222208,.,.,120988.000000,85379.000000,,1.41706977126,571,.,.,149.000000,122.000000,,1.22131147541,500882,.,.,321822.000000,161924.000000,,1.98748795731,232447,.,.,142095.000000,85383.000000,,1.66420716068,598,.,.,397.000000,185.000000,,2.14594594595,267837,.,.,179330.000000,76356.000000,,2.34860390801
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.991416,0.995582,0.939522,0.993495,12,4,38076769.000000,6634626.000000,0.000000,3961,.,.,2335.000000,1457.000000,,1.60260809883,3927,.,.,2316.000000,1445.000000,,1.60276816609,34,.,.,19.000000,12.000000,,1.58333333333,67363,.,.,43675.000000,22089.000000,,1.97722848477,4056,.,.,2567.000000,1447.000000,,1.77401520387,18,.,.,17.000000,1.000000,,17.0,63289,.,.,41091.000000,20641.000000,,1.99074657236
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.991416,0.995582,0.939522,0.993495,12,4,38076769.000000,6634626.000000,0.000000,3961,.,.,2335.000000,1457.000000,,1.60260809883,3927,.,.,2316.000000,1445.000000,,1.60276816609,34,.,.,19.000000,12.000000,,1.58333333333,67363,.,.,43675.000000,22089.000000,,1.97722848477,4056,.,.,2567.000000,1447.000000,,1.77401520387,18,.,.,17.000000,1.000000,,17.0,63289,.,.,41091.000000,20641.000000,,1.99074657236
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.993243,0.992921,0.683397,0.993082,120,71,26604713.000000,18573075.000000,0.000000,27673,.,.,15595.000000,7628.000000,,2.0444415312,27486,.,.,15546.000000,7574.000000,,2.05254819118,187,.,.,49.000000,54.000000,,0.907407407407,97709,.,.,71945.000000,21611.000000,,3.32909166628,30716,.,.,22217.000000,7575.000000,,2.93293729373,219,.,.,171.000000,41.000000,,4.17073170732,66774,.,.,49557.000000,13995.000000,,3.54105037513
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.993243,0.992921,0.683397,0.993082,120,71,26604713.000000,18573075.000000,0.000000,27673,.,.,15595.000000,7628.000000,,2.0444415312,27486,.,.,15546.000000,7574.000000,,2.05254819118,187,.,.,49.000000,54.000000,,0.907407407407,97709,.,.,71945.000000,21611.000000,,3.32909166628,30716,.,.,22217.000000,7575.000000,,2.93293729373,219,.,.,171.000000,41.000000,,4.17073170732,66774,.,.,49557.000000,13995.000000,,3.54105037513
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2290,.,.,1046.000000,1200.000000,,0.871666666667,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2290,.,.,1046.000000,1200.000000,,0.871666666667
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2290,.,.,1046.000000,1200.000000,,0.871666666667,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2290,.,.,1046.000000,1200.000000,,0.871666666667
