Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.986374,0.987407,0.438074,0.98689,3817,2491,2809068885,2530414070.000000,0.000000,504830,.,.,282338.000000,189530.000000,,1.48967445787,497951,.,.,278868.000000,187776.000000,,1.4851099182,6879,.,.,3470.000000,1754.000000,,1.97833523375,955709,.,.,617473.000000,304606.000000,,2.02712027997,530275,.,.,332944.000000,187705.000000,,1.77376202019,6763,.,.,4704.000000,971.000000,,4.84449021627,418671,.,.,279825.000000,115930.000000,,2.41374105063
INDEL,*,*,PASS,*,QUAL,*,0.986374,0.987407,0.438074,0.98689,3817,2491,2809068885,2530414070.000000,0.000000,504830,.,.,282338.000000,189530.000000,,1.48967445787,497951,.,.,278868.000000,187776.000000,,1.4851099182,6879,.,.,3470.000000,1754.000000,,1.97833523375,955709,.,.,617473.000000,304606.000000,,2.02712027997,530275,.,.,332944.000000,187705.000000,,1.77376202019,6763,.,.,4704.000000,971.000000,,4.84449021627,418671,.,.,279825.000000,115930.000000,,2.41374105063
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.974984,0.979676,0.510741,0.977324,3147,1321,83977437.000000,61421286.000000,0.000000,222779,.,.,121137.000000,85501.000000,,1.4167904469,217206,.,.,118334.000000,84069.000000,,1.40758186728,5573,.,.,2803.000000,1432.000000,,1.95740223464,476580,.,.,304489.000000,151283.000000,,2.01271127622,228432,.,.,139952.000000,84000.000000,,1.6660952381,4739,.,.,3003.000000,799.000000,,3.75844806008,243409,.,.,161534.000000,66484.000000,,2.42966728837
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.974984,0.979676,0.510741,0.977324,3147,1321,83977437.000000,61421286.000000,0.000000,222779,.,.,121137.000000,85501.000000,,1.4167904469,217206,.,.,118334.000000,84069.000000,,1.40758186728,5573,.,.,2803.000000,1432.000000,,1.95740223464,476580,.,.,304489.000000,151283.000000,,2.01271127622,228432,.,.,139952.000000,84000.000000,,1.6660952381,4739,.,.,3003.000000,799.000000,,3.75844806008,243409,.,.,161534.000000,66484.000000,,2.42966728837
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.99697,0.997071,0.928148,0.997021,2,6,38076769.000000,6634626.000000,0.000000,3961,.,.,2335.000000,1457.000000,,1.60260809883,3949,.,.,2326.000000,1454.000000,,1.59972489684,12,.,.,9.000000,3.000000,,3.0,57020,.,.,38139.000000,17473.000000,,2.18273908316,4085,.,.,2589.000000,1453.000000,,1.78183069511,12,.,.,9.000000,2.000000,,4.5,52923,.,.,35541.000000,16018.000000,,2.21881633163
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.99697,0.997071,0.928148,0.997021,2,6,38076769.000000,6634626.000000,0.000000,3961,.,.,2335.000000,1457.000000,,1.60260809883,3949,.,.,2326.000000,1454.000000,,1.59972489684,12,.,.,9.000000,3.000000,,3.0,57020,.,.,38139.000000,17473.000000,,2.18273908316,4085,.,.,2589.000000,1453.000000,,1.78183069511,12,.,.,9.000000,2.000000,,4.5,52923,.,.,35541.000000,16018.000000,,2.21881633163
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.987894,0.989858,0.642238,0.988875,175,115,26604713.000000,18573075.000000,0.000000,27673,.,.,15595.000000,7628.000000,,2.0444415312,27338,.,.,15438.000000,7562.000000,,2.04152340651,335,.,.,157.000000,66.000000,,2.37878787879,86538,.,.,63927.000000,19185.000000,,3.33213448006,30646,.,.,22211.000000,7537.000000,,2.94692848614,314,.,.,252.000000,33.000000,,7.63636363636,55578,.,.,41464.000000,11615.000000,,3.56986655187
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.987894,0.989858,0.642238,0.988875,175,115,26604713.000000,18573075.000000,0.000000,27673,.,.,15595.000000,7628.000000,,2.0444415312,27338,.,.,15438.000000,7562.000000,,2.04152340651,335,.,.,157.000000,66.000000,,2.37878787879,86538,.,.,63927.000000,19185.000000,,3.33213448006,30646,.,.,22211.000000,7537.000000,,2.94692848614,314,.,.,252.000000,33.000000,,7.63636363636,55578,.,.,41464.000000,11615.000000,,3.56986655187
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3378,.,.,1817.000000,1521.000000,,1.19460880999,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3378,.,.,1817.000000,1521.000000,,1.19460880999
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3378,.,.,1817.000000,1521.000000,,1.19460880999,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3378,.,.,1817.000000,1521.000000,,1.19460880999
INDEL,*,GRCh38_AllTandemRepeats_gt100bp_slop5.bed.gz,ALL,*,QUAL,*,0.991197,0.992832,0.858077,0.992014,41,40,119934799.000000,13163890.000000,0.000000,12269,.,.,7411.000000,3771.000000,,1.96526120392,12161,.,.,7345.000000,3757.000000,,1.95501730104,108,.,.,66.000000,14.000000,,4.71428571429,91416,.,.,62435.000000,26269.000000,,2.37675587194,12881,.,.,8841.000000,3745.000000,,2.36074766355,93,.,.,75.000000,9.000000,,8.33333333333,78442,.,.,53519.000000,22515.000000,,2.37703753054
INDEL,*,GRCh38_AllTandemRepeats_gt100bp_slop5.bed.gz,PASS,*,QUAL,*,0.991197,0.992832,0.858077,0.992014,41,40,119934799.000000,13163890.000000,0.000000,12269,.,.,7411.000000,3771.000000,,1.96526120392,12161,.,.,7345.000000,3757.000000,,1.95501730104,108,.,.,66.000000,14.000000,,4.71428571429,91416,.,.,62435.000000,26269.000000,,2.37675587194,12881,.,.,8841.000000,3745.000000,,2.36074766355,93,.,.,75.000000,9.000000,,8.33333333333,78442,.,.,53519.000000,22515.000000,,2.37703753054
INDEL,*,GRCh38_AllTandemRepeats_lt51bp_slop5.bed.gz,ALL,*,QUAL,*,0.991067,0.992206,0.466261,0.991636,468,255,38085246.000000,28876394.000000,0.000000,86529,.,.,46445.000000,24629.000000,,1.88578505014,85756,.,.,46151.000000,24414.000000,,1.8903497993,773,.,.,294.000000,215.000000,,1.36744186047,180772,.,.,127040.000000,42704.000000,,2.97489696516,95733,.,.,66450.000000,24387.000000,,2.72481240005,752,.,.,552.000000,71.000000,,7.77464788732,84287,.,.,60038.000000,18246.000000,,3.29047462458
INDEL,*,GRCh38_AllTandemRepeats_lt51bp_slop5.bed.gz,PASS,*,QUAL,*,0.991067,0.992206,0.466261,0.991636,468,255,38085246.000000,28876394.000000,0.000000,86529,.,.,46445.000000,24629.000000,,1.88578505014,85756,.,.,46151.000000,24414.000000,,1.8903497993,773,.,.,294.000000,215.000000,,1.36744186047,180772,.,.,127040.000000,42704.000000,,2.97489696516,95733,.,.,66450.000000,24387.000000,,2.72481240005,752,.,.,552.000000,71.000000,,7.77464788732,84287,.,.,60038.000000,18246.000000,,3.29047462458
INDEL,*,GRCh38_AllTandemRepeatsandHomopolymers_slop5.bed.gz,ALL,*,QUAL,*,0.979797,0.983547,0.527462,0.981668,3688,1620,249348603.000000,111688558.000000,0.000000,320202,.,.,173748.000000,113612.000000,,1.52931028412,313733,.,.,170602.000000,111942.000000,,1.52402136821,6469,.,.,3146.000000,1670.000000,,1.88383233533,723360,.,.,476394.000000,213717.000000,,2.22908799955,336191,.,.,214843.000000,111835.000000,,1.921071221,5624,.,.,3670.000000,888.000000,,4.13288288288,381545,.,.,257881.000000,100994.000000,,2.55342891657
