Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.996839,0.997739,0.452353,0.997289,625,220,2809068885,2542283695.000000,0.000000,525395,.,.,296555.000000,194040.000000,,1.52831890332,523734,.,.,295551.000000,193633.000000,,1.52634623231,1661,.,.,1004.000000,407.000000,,2.46683046683,999795,.,.,650015.000000,317064.000000,,2.05010660308,546297,.,.,341629.000000,193686.000000,,1.76382908419,1238,.,.,893.000000,324.000000,,2.75617283951,452260,.,.,307493.000000,123054.000000,,2.49884603507
INDEL,*,*,PASS,*,QUAL,*,0.996839,0.997739,0.452353,0.997289,625,220,2809068885,2542283695.000000,0.000000,525395,.,.,296555.000000,194040.000000,,1.52831890332,523734,.,.,295551.000000,193633.000000,,1.52634623231,1661,.,.,1004.000000,407.000000,,2.46683046683,999795,.,.,650015.000000,317064.000000,,2.05010660308,546297,.,.,341629.000000,193686.000000,,1.76382908419,1238,.,.,893.000000,324.000000,,2.75617283951,452260,.,.,307493.000000,123054.000000,,2.49884603507
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.998261,0.998358,0.529595,0.998309,231,90,83977437.000000,62849098.000000,0.000000,229956,.,.,127613.000000,85983.000000,,1.48416547457,229556,.,.,127431.000000,85844.000000,,1.48444853455,400,.,.,182.000000,139.000000,,1.30935251799,511351,.,.,332574.000000,159409.000000,,2.08629374753,240147,.,.,149239.000000,85851.000000,,1.73834900001,395,.,.,309.000000,79.000000,,3.91139240506,270809,.,.,183026.000000,73479.000000,,2.49086133453
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.998261,0.998358,0.529595,0.998309,231,90,83977437.000000,62849098.000000,0.000000,229956,.,.,127613.000000,85983.000000,,1.48416547457,229556,.,.,127431.000000,85844.000000,,1.48444853455,400,.,.,182.000000,139.000000,,1.30935251799,511351,.,.,332574.000000,159409.000000,,2.08629374753,240147,.,.,149239.000000,85851.000000,,1.73834900001,395,.,.,309.000000,79.000000,,3.91139240506,270809,.,.,183026.000000,73479.000000,,2.49086133453
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.976127,0.985976,0.872839,0.981027,37,40,38076769.000000,13750354.000000,0.000000,7498,.,.,4424.000000,2697.000000,,1.64034111976,7319,.,.,4295.000000,2656.000000,,1.61709337349,179,.,.,129.000000,41.000000,,3.14634146341,60561,.,.,42143.000000,17277.000000,,2.4392545002,7593,.,.,4835.000000,2665.000000,,1.81425891182,108,.,.,89.000000,19.000000,,4.68421052632,52860,.,.,37219.000000,14593.000000,,2.55046940314
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.976127,0.985976,0.872839,0.981027,37,40,38076769.000000,13750354.000000,0.000000,7498,.,.,4424.000000,2697.000000,,1.64034111976,7319,.,.,4295.000000,2656.000000,,1.61709337349,179,.,.,129.000000,41.000000,,3.14634146341,60561,.,.,42143.000000,17277.000000,,2.4392545002,7593,.,.,4835.000000,2665.000000,,1.81425891182,108,.,.,89.000000,19.000000,,4.68421052632,52860,.,.,37219.000000,14593.000000,,2.55046940314
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.990232,0.995271,0.62176,0.992745,108,45,26604713.000000,19570479.000000,0.000000,32248,.,.,17840.000000,9336.000000,,1.91088260497,31933,.,.,17652.000000,9299.000000,,1.89826863104,315,.,.,188.000000,37.000000,,5.08108108108,94477,.,.,69738.000000,20934.000000,,3.3313270278,35566,.,.,25165.000000,9306.000000,,2.70416935311,169,.,.,105.000000,56.000000,,1.875,58742,.,.,44468.000000,11572.000000,,3.84272381611
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.990232,0.995271,0.62176,0.992745,108,45,26604713.000000,19570479.000000,0.000000,32248,.,.,17840.000000,9336.000000,,1.91088260497,31933,.,.,17652.000000,9299.000000,,1.89826863104,315,.,.,188.000000,37.000000,,5.08108108108,94477,.,.,69738.000000,20934.000000,,3.3313270278,35566,.,.,25165.000000,9306.000000,,2.70416935311,169,.,.,105.000000,56.000000,,1.875,58742,.,.,44468.000000,11572.000000,,3.84272381611
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,6739,.,.,3754.000000,2937.000000,,1.27817500851,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,6739,.,.,3754.000000,2937.000000,,1.27817500851
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,6739,.,.,3754.000000,2937.000000,,1.27817500851,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,6739,.,.,3754.000000,2937.000000,,1.27817500851
