Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.354442,0.501779,0.11438,0.415434,86712,26668,2809068885,2530414070.000000,0.000000,504830,.,.,282338.000000,189530.000000,,1.48967445787,178933,.,.,93036.000000,83426.000000,,1.1151919066,325897,.,.,189302.000000,106104.000000,,1.78411746965,407266,.,.,245155.000000,159643.000000,,1.53564515826,180983,.,.,97275.000000,83319.000000,,1.16750081014,179700,.,.,121120.000000,57219.000000,,2.11677939146,46583,.,.,26760.000000,19105.000000,,1.40068045014
INDEL,*,*,PASS,*,QUAL,*,0.354442,0.501779,0.11438,0.415434,86712,26668,2809068885,2530414070.000000,0.000000,504830,.,.,282338.000000,189530.000000,,1.48967445787,178933,.,.,93036.000000,83426.000000,,1.1151919066,325897,.,.,189302.000000,106104.000000,,1.78411746965,407266,.,.,245155.000000,159643.000000,,1.53564515826,180983,.,.,97275.000000,83319.000000,,1.16750081014,179700,.,.,121120.000000,57219.000000,,2.11677939146,46583,.,.,26760.000000,19105.000000,,1.40068045014
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,ALL,*,QUAL,*,0.222848,0.43994,0.166307,0.29584,29992,11649,83977437.000000,61421286.000000,0.000000,222780,.,.,121138.000000,85501.000000,,1.41680214266,49646,.,.,23459.000000,25800.000000,,0.909263565891,173134,.,.,97679.000000,59701.000000,,1.63613674813,136236,.,.,69929.000000,66111.000000,,1.05775135757,49968,.,.,24159.000000,25789.000000,,0.936794757455,63611,.,.,34282.000000,29235.000000,,1.17263553959,22657,.,.,11488.000000,11087.000000,,1.03616848561
INDEL,*,GRCh38_AllHomopolymers_gt6bp_imperfectgt10bp_slop5.bed.gz,PASS,*,QUAL,*,0.222848,0.43994,0.166307,0.29584,29992,11649,83977437.000000,61421286.000000,0.000000,222780,.,.,121138.000000,85501.000000,,1.41680214266,49646,.,.,23459.000000,25800.000000,,0.909263565891,173134,.,.,97679.000000,59701.000000,,1.63613674813,136236,.,.,69929.000000,66111.000000,,1.05775135757,49968,.,.,24159.000000,25789.000000,,0.936794757455,63611,.,.,34282.000000,29235.000000,,1.17263553959,22657,.,.,11488.000000,11087.000000,,1.03616848561
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.381974,0.521635,0.569269,0.441012,657,222,38076769.000000,6634626.000000,0.000000,3961,.,.,2335.000000,1457.000000,,1.60260809883,1513,.,.,836.000000,662.000000,,1.26283987915,2448,.,.,1499.000000,795.000000,,1.88553459119,6814,.,.,4479.000000,2300.000000,,1.94739130435,1531,.,.,868.000000,661.000000,,1.31316187595,1404,.,.,1069.000000,326.000000,,3.27914110429,3879,.,.,2542.000000,1313.000000,,1.93602437167
INDEL,*,GRCh38_AllTandemRepeats_201to10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.381974,0.521635,0.569269,0.441012,657,222,38076769.000000,6634626.000000,0.000000,3961,.,.,2335.000000,1457.000000,,1.60260809883,1513,.,.,836.000000,662.000000,,1.26283987915,2448,.,.,1499.000000,795.000000,,1.88553459119,6814,.,.,4479.000000,2300.000000,,1.94739130435,1531,.,.,868.000000,661.000000,,1.31316187595,1404,.,.,1069.000000,326.000000,,3.27914110429,3879,.,.,2542.000000,1313.000000,,1.93602437167
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,ALL,*,QUAL,*,0.343042,0.440967,0.264341,0.385889,5936,3362,26604713.000000,18573075.000000,0.000000,27673,.,.,15595.000000,7628.000000,,2.0444415312,9493,.,.,5656.000000,3355.000000,,1.68584202683,18180,.,.,9939.000000,4273.000000,,2.32600046806,30752,.,.,21470.000000,8879.000000,,2.41806509742,9976,.,.,6568.000000,3351.000000,,1.96001193674,12647,.,.,9431.000000,3020.000000,,3.12284768212,8129,.,.,5471.000000,2508.000000,,2.18141945774
INDEL,*,GRCh38_AllTandemRepeats_51to200bp_slop5.bed.gz,PASS,*,QUAL,*,0.343042,0.440967,0.264341,0.385889,5936,3362,26604713.000000,18573075.000000,0.000000,27673,.,.,15595.000000,7628.000000,,2.0444415312,9493,.,.,5656.000000,3355.000000,,1.68584202683,18180,.,.,9939.000000,4273.000000,,2.32600046806,30752,.,.,21470.000000,8879.000000,,2.41806509742,9976,.,.,6568.000000,3351.000000,,1.96001193674,12647,.,.,9431.000000,3020.000000,,3.12284768212,8129,.,.,5471.000000,2508.000000,,2.18141945774
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,GRCh38_AllTandemRepeats_gt10000bp_slop5.bed.gz,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
