##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	HG003.novaseq.pcr-free.35x.R2
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	419192650
Sequences flagged as poor quality	0
Sequence length	151
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.60005139641642	37.0	37.0	37.0	37.0	37.0
2	35.743250913392686	37.0	37.0	37.0	37.0	37.0
3	35.85553179188614	37.0	37.0	37.0	37.0	37.0
4	35.84320896609232	37.0	37.0	37.0	37.0	37.0
5	35.88712277994378	37.0	37.0	37.0	37.0	37.0
6	35.926249384382096	37.0	37.0	37.0	37.0	37.0
7	35.914631511311086	37.0	37.0	37.0	37.0	37.0
8	35.91634774130701	37.0	37.0	37.0	37.0	37.0
9	35.886487997821526	37.0	37.0	37.0	37.0	37.0
10-14	35.89371380962906	37.0	37.0	37.0	37.0	37.0
15-19	35.87544631090263	37.0	37.0	37.0	37.0	37.0
20-24	35.843126276665394	37.0	37.0	37.0	37.0	37.0
25-29	35.77979221582249	37.0	37.0	37.0	37.0	37.0
30-34	35.730169700255956	37.0	37.0	37.0	37.0	37.0
35-39	35.67433973615711	37.0	37.0	37.0	37.0	37.0
40-44	35.64221655508511	37.0	37.0	37.0	37.0	37.0
45-49	35.579255612902564	37.0	37.0	37.0	37.0	37.0
50-54	35.51972332911849	37.0	37.0	37.0	37.0	37.0
55-59	35.49109004797675	37.0	37.0	37.0	37.0	37.0
60-64	35.437846863488666	37.0	37.0	37.0	37.0	37.0
65-69	35.39258072439963	37.0	37.0	37.0	37.0	37.0
70-74	35.3383878419624	37.0	37.0	37.0	37.0	37.0
75-79	35.26959277267862	37.0	37.0	37.0	37.0	37.0
80-84	35.215428360683326	37.0	37.0	37.0	32.2	37.0
85-89	35.17345919829463	37.0	37.0	37.0	27.4	37.0
90-94	35.09548564317623	37.0	37.0	37.0	25.0	37.0
95-99	35.04191121576201	37.0	37.0	37.0	25.0	37.0
100-104	34.99481815962183	37.0	37.0	37.0	25.0	37.0
105-109	34.87459529359592	37.0	37.0	37.0	25.0	37.0
110-114	34.79118306916879	37.0	37.0	37.0	25.0	37.0
115-119	34.71294263532531	37.0	37.0	37.0	25.0	37.0
120-124	34.6676001738103	37.0	37.0	37.0	25.0	37.0
125-129	34.6101891023137	37.0	37.0	37.0	25.0	37.0
130-134	34.499587150681194	37.0	37.0	37.0	25.0	37.0
135-139	34.36513223168393	37.0	37.0	37.0	25.0	37.0
140-144	34.300717592257406	37.0	37.0	37.0	25.0	37.0
145-149	34.15683643689841	37.0	37.0	37.0	25.0	37.0
150-151	33.80798823285666	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.04679889598656217
1101	2	0.06259603291168503
1101	3	-0.013214624803069341
1101	4	-0.08903808272020797
1101	5	-0.0682040827181325
1101	6	-0.011123679834973643
1101	7	0.08608486829498929
1101	8	-0.016407733470714447
1101	9	0.03000853866618769
1101	10-14	0.026466938832292897
1101	15-19	0.03294051049121549
1101	20-24	0.004676086283922132
1101	25-29	0.02678617004881545
1101	30-34	0.06310951109830398
1101	35-39	0.060747005934594256
1101	40-44	0.01789351323483146
1101	45-49	0.024391589289720628
1101	50-54	0.0047657161916419
1101	55-59	-0.07954441901890164
1101	60-64	-0.02590225670106605
1101	65-69	0.017044787422960894
1101	70-74	-0.013175516153431488
1101	75-79	0.036773024034935986
1101	80-84	0.06684919374152543
1101	85-89	-0.08622783679323476
1101	90-94	-0.0358506498920903
1101	95-99	-0.0317613252574418
1101	100-104	-0.17994257187172735
1101	105-109	0.015632438764711765
1101	110-114	0.16811828540897267
1101	115-119	0.05727887734899184
1101	120-124	0.03057227557539477
1101	125-129	0.1399814176295564
1101	130-134	0.20556749944083919
1101	135-139	0.3150168046583275
1101	140-144	0.19200204446840985
1101	145-149	0.04229540923858366
1101	150-151	0.3761292861540113
1102	1	0.15328187377016889
1102	2	0.09251938008105753
1102	3	0.0018700209634161524
1102	4	-0.12235901236010704
1102	5	-0.10257240944990542
1102	6	0.06686298615857567
1102	7	0.13361392726664434
1102	8	0.08075955367283427
1102	9	-0.058062121057233185
1102	10-14	0.030150720415441867
1102	15-19	0.010269936318444195
1102	20-24	0.010454840758761463
1102	25-29	0.032734025939390676
1102	30-34	0.08940095166310158
1102	35-39	0.06104304387989856
1102	40-44	0.018202852381328682
1102	45-49	-0.029380825826365253
1102	50-54	-0.011592767566000362
1102	55-59	0.02634202605071323
1102	60-64	-0.04856339246844499
1102	65-69	-0.02563633799428544
1102	70-74	0.046582672878273
1102	75-79	-0.06428287064924376
1102	80-84	-0.01385871734878208
1102	85-89	0.0025148890468429386
1102	90-94	-2.552085776201807E-4
1102	95-99	0.051365439446499295
1102	100-104	0.07432402450844222
1102	105-109	0.13161283867074047
1102	110-114	0.19031423321928997
1102	115-119	0.09571702657508752
1102	120-124	0.10603997055071801
1102	125-129	0.17711889533706682
1102	130-134	0.15031989744100116
1102	135-139	0.3004860571214252
1102	140-144	0.20441000416213484
1102	145-149	0.328955866225364
1102	150-151	0.41518014175120754
1103	1	0.23037025885656703
1103	2	0.1293751370528824
1103	3	-0.04551473211969892
1103	4	-0.07336785749433261
1103	5	-0.03715455086149433
1103	6	0.02246754307700627
1103	7	0.06791753221621377
1103	8	0.020770208735441997
1103	9	-0.06801082608001252
1103	10-14	0.028243185448140196
1103	15-19	0.004958935992277702
1103	20-24	0.017323026547920506
1103	25-29	0.012898458240520938
1103	30-34	0.08887837373990237
1103	35-39	0.019700461672329084
1103	40-44	-0.08439143361262325
1103	45-49	-0.09828327194836106
1103	50-54	0.015756326723405323
1103	55-59	0.04828389483056128
1103	60-64	0.0569881308413116
1103	65-69	-0.05500103243414145
1103	70-74	-0.00497019158224532
1103	75-79	-0.028563602634250174
1103	80-84	-0.05052424390492405
1103	85-89	0.12494744385431034
1103	90-94	0.09339235921517286
1103	95-99	0.18969924507953806
1103	100-104	0.19542497646090595
1103	105-109	0.19545113100651434
1103	110-114	0.041620554734620896
1103	115-119	0.16715426993576443
1103	120-124	0.17322278049392992
1103	125-129	0.035463491059161356
1103	130-134	0.25557326064697605
1103	135-139	0.22397787897606491
1103	140-144	0.16217851060552135
1103	145-149	0.4901550744783876
1103	150-151	0.4738375877554901
1104	1	0.09971028555497696
1104	2	-0.03049136172889888
1104	3	0.05525269852370229
1104	4	0.028304388480513865
1104	5	0.05669852285485888
1104	6	-0.09610790167527483
1104	7	0.033887890766543194
1104	8	-0.02075243224683021
1104	9	0.10116586804772254
1104	10-14	0.05565645132880093
1104	15-19	0.018141633450007077
1104	20-24	0.0573012333136802
1104	25-29	0.019451179194490464
1104	30-34	0.013341192048379469
1104	35-39	0.034159078346796434
1104	40-44	0.0244068449216428
1104	45-49	0.04273906249168391
1104	50-54	0.05731609645282987
1104	55-59	0.09034198899389878
1104	60-64	0.15426006524242553
1104	65-69	0.03997611995578865
1104	70-74	-0.027224869661253592
1104	75-79	0.058494859012597544
1104	80-84	0.14006349072791835
1104	85-89	0.1828343399619854
1104	90-94	0.18825511408372364
1104	95-99	0.23319404338321448
1104	100-104	0.22265308790965577
1104	105-109	0.3047075581638552
1104	110-114	0.14677435062606747
1104	115-119	0.2962115157442895
1104	120-124	0.3008763637832601
1104	125-129	0.15802182221979422
1104	130-134	0.3218996487910104
1104	135-139	0.2304472144691161
1104	140-144	0.44444289790363456
1104	145-149	0.47546891052480333
1104	150-151	0.6110140649715063
1105	1	0.1678394758909505
1105	2	-0.012374639453092584
1105	3	0.13592596805617774
1105	4	0.04154212559448922
1105	5	0.08780662219547963
1105	6	0.1278492802799036
1105	7	0.024938449066965518
1105	8	0.012151031008848179
1105	9	0.16698575872840848
1105	10-14	0.0992350226471288
1105	15-19	0.07584420924604274
1105	20-24	0.08283441046722828
1105	25-29	0.1031711972901519
1105	30-34	0.086711465302038
